Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
6,8,34,37,145,1,0,0,1,8,2,1,yes
150,59,268,89,82,0,1,1,0,6,1,0,no
236,85,121,267,61,0,1,1,0,6,1,0,yes
64,58,51,16,84,1,0,0,0,1,0,0,no
412,8,236,79,119,1,1,1,1,9,1,1,yes
16,81,117,121,85,0,0,0,0,1,1,0,no
517,60,145,111,114,0,0,1,1,3,1,1,no
58,268,236,412,203,1,1,0,0,11,2,1,yes
120,21,412,69,421,1,1,0,0,5,2,0,no
3,60,91,58,145,0,0,1,1,8,2,2,yes
45,12,56,30,58,1,1,1,0,3,1,0,yes
60,81,40,78,91,0,0,0,0,0,0,0,no
72,163,31,80,42,1,1,0,1,8,1,1,yes
64,81,201,67,13,0,0,1,0,2,1,0,no
498,9,58,517,203,0,1,0,0,2,1,0,no
145,7,201,68,2,1,0,1,1,6,2,1,yes
59,110,85,90,203,1,0,0,0,0,0,0,no
7,157,12,10,64,0,1,1,0,11,2,0,yes
111,69,121,44,29,0,0,1,0,1,3,0,no
117,58,59,13,498,1,1,0,0,7,0,0,yes
54,91,222,79,84,0,0,0,0,0,0,0,no
58,145,59,432,134,1,1,0,0,8,0,0,yes
432,113,145,13,41,0,0,0,0,7,1,0,no
61,12,8,59,236,1,1,1,1,6,2,1,yes
432,67,145,13,28,0,0,0,0,2,0,0,no
64,81,98,43,163,1,1,1,1,8,1,1,yes
104,98,67,8,48,1,1,1,1,9,3,2,yes
13,58,45,12,72,0,0,0,0,3,1,0,no
222,8,157,3,59,0,0,0,0,5,0,0,no
22,40,67,30,64,1,1,1,1,7,3,1,yes
421,91,16,85,67,0,0,0,0,0,0,0,no
12,163,145,203,112,1,1,1,0,8,1,0,yes
59,112,84,81,223,1,0,0,0,0,0,0,no
13,67,64,8,16,0,1,1,0,8,2,0,yes
8,80,81,412,517,1,0,1,0,1,1,0,no
105,10,111,145,64,0,1,0,1,9,2,1,yes
80,3,58,145,30,1,1,1,1,10,2,1,yes
517,64,81,24,412,0,0,0,0,2,0,0,no
61,3,18,64,112,1,1,1,0,4,3,0,no
81,8,141,92,518,0,0,0,1,11,2,2,yes
67,3,58,20,238,1,1,0,1,5,2,1,no
59,120,412,7,222,0,0,1,0,5,2,0,yes
120,59,111,67,74,0,1,1,1,11,5,3,yes
8,238,12,15,203,1,0,0,0,2,0,0,no
25,67,145,84,64,0,0,0,0,2,0,0,no
85,117,429,43,141,1,1,1,1,9,3,1,yes
10,96,117,80,120,0,1,1,0,3,1,0,yes
203,91,41,89,82,1,0,0,0,0,0,0,no
429,117,60,518,91,1,1,0,1,8,1,1,yes
58,22,111,25,145,0,0,1,0,2,2,0,no
3,164,58,74,59,1,1,1,1,8,3,1,yes
14,201,72,236,55,0,0,0,0,3,0,0,no
421,142,21,3,10,1,0,0,0,0,0,0,no
223,80,30,81,157,0,1,1,0,7,1,0,yes
16,76,39,236,126,1,0,1,1,5,1,1,no
45,164,5,25,222,0,1,0,0,9,4,1,yes
8,145,12,39,203,1,1,1,0,9,3,1,yes
3,518,31,157,429,0,0,0,1,3,2,1,no
145,517,120,412,121,1,1,1,1,8,2,2,yes
81,16,84,58,59,0,0,0,0,3,3,0,no
21,16,30,91,122,0,1,1,0,4,1,0,yes
43,421,119,58,13,1,0,0,0,0,0,0,no
16,43,67,64,10,0,1,0,0,3,0,0,no
13,39,59,145,25,1,0,1,1,9,3,1,yes
